,ds,y,yhat1,residual1,trend,season_weekly
56,2022-01-28,808.6715087890625,810.4315795898438,1.76007080078125,808.080810546875,2.350770950317383
57,2022-01-29,808.0664672851562,814.8663940429688,6.7999267578125,808.3726196289062,6.493770599365234
58,2022-01-30,808.02978515625,808.054443359375,0.024658203125,808.6644287109375,-0.6099398732185364
59,2022-01-31,809.7523193359375,802.5597534179688,-7.19256591796875,808.9561767578125,-6.39640998840332
60,2022-02-01,801.677734375,810.0551147460938,8.37738037109375,809.2479858398438,0.807175874710083
61,2022-02-02,798.8710327148438,804.1854858398438,5.314453125,809.5397338867188,-5.35426664352417
62,2022-02-03,809.7828979492188,812.5404663085938,2.757568359375,809.83154296875,2.7088992595672607
63,2022-02-04,819.8527221679688,812.47412109375,-7.37860107421875,810.1233520507812,2.350770950317383
64,2022-02-05,815.5592041015625,816.908935546875,1.3497314453125,810.4151611328125,6.493770599365234
65,2022-02-06,828.0341796875,810.0969848632812,-17.93719482421875,810.7069091796875,-0.6099398732185364
66,2022-02-07,818.2755126953125,804.602294921875,-13.6732177734375,810.9987182617188,-6.39640998840332
67,2022-02-08,815.1153564453125,812.09765625,-3.0177001953125,811.2904663085938,0.807175874710083
68,2022-02-09,818.33251953125,806.2627563476562,-12.06976318359375,811.6170043945312,-5.35426664352417
69,2022-02-10,810.1334228515625,818.4434204101562,8.30999755859375,815.7344970703125,2.7088992595672607
70,2022-02-11,831.505615234375,822.2027587890625,-9.3028564453125,819.8519897460938,2.350770950317383
71,2022-02-12,829.1260375976562,830.4632568359375,1.33721923828125,823.969482421875,6.493770599365234
72,2022-02-13,828.1618041992188,827.47705078125,-0.68475341796875,828.0869750976562,-0.6099398732185364
73,2022-02-14,829.0907592773438,825.8080444335938,-3.28271484375,832.2044677734375,-6.39640998840332
74,2022-02-15,827.4713745117188,837.129150390625,9.65777587890625,836.3219604492188,0.807175874710083
75,2022-02-16,833.2596435546875,835.085205078125,1.8255615234375,840.439453125,-5.35426664352417
76,2022-02-17,835.4730224609375,847.2658081054688,11.79278564453125,844.556884765625,2.7088992595672607
