,ds,y
174,2022-05-16,1062.63134765625
175,2022-05-17,1066.498046875
176,2022-05-18,1042.3671875
177,2022-05-19,1061.6583251953125
178,2022-05-20,1063.275146484375
179,2022-05-21,1069.705810546875
180,2022-05-22,1062.274169921875
181,2022-05-23,1032.8887939453125
182,2022-05-24,1066.281005859375
183,2022-05-25,1067.8427734375
184,2022-05-26,1067.241943359375
185,2022-05-27,1069.8436279296875
186,2022-05-28,1069.4891357421875
187,2022-05-29,1069.6990966796875
188,2022-05-30,1072.306396484375
189,2022-05-31,1073.8289794921875
190,2022-06-01,1014.6981201171876
191,2022-06-02,1075.566162109375
192,2022-06-03,1077.47412109375
193,2022-06-04,1076.4901123046875
194,2022-06-05,1076.4361572265625
195,2022-06-06,1078.620361328125
196,2022-06-07,1080.408447265625
